9606.ENSP00000329243
9606.ENSP00000497733
9606.ENSP00000322570
9606.ENSP00000369816
9606.ENSP00000265171
9606.ENSP00000386559
9606.ENSP00000320147
9606.ENSP00000263025
9606.ENSP00000354558
9606.ENSP00000261769
9606.ENSP00000316578
9606.ENSP00000265849
9606.ENSP00000244745
9606.ENSP00000302150
9606.ENSP00000269141
9606.ENSP00000275525
9606.ENSP00000306512
9606.ENSP00000379472
9606.ENSP00000472445
9606.ENSP00000361021
9606.ENSP00000370896
9606.ENSP00000234420
9606.ENSP00000403495
9606.ENSP00000256078
9606.ENSP00000231790
9606.ENSP00000370936
9606.ENSP00000437955
9606.ENSP00000275493
9606.ENSP00000355759
9606.ENSP00000428056
9606.ENSP00000376637
9606.ENSP00000410294
9606.ENSP00000221496
9606.ENSP00000343925
9606.ENSP00000342156
9606.ENSP00000356438
9606.ENSP00000263923
9606.ENSP00000283928
9606.ENSP00000227507
9606.ENSP00000252804
9606.ENSP00000480291
9606.ENSP00000418960
9606.ENSP00000261597
9606.ENSP00000300305
9606.ENSP00000478887
9606.ENSP00000283921
9606.ENSP00000351015
9606.ENSP00000221930
9606.ENSP00000380070
9606.ENSP00000354487
9606.ENSP00000467123
9606.ENSP00000311032
9606.ENSP00000269571
9606.ENSP00000332973
9606.ENSP00000199936
9606.ENSP00000381185
9606.ENSP00000325120
9606.ENSP00000348645
9606.ENSP00000263341
9606.ENSP00000495360
9606.ENSP00000290167
9606.ENSP00000398698
9606.ENSP00000368370
9606.ENSP00000219070
9606.ENSP00000357348
9606.ENSP00000258729
9606.ENSP00000276414
9606.ENSP00000320485
9606.ENSP00000367972
9606.ENSP00000359392
9606.ENSP00000380432
9606.ENSP00000244050
9606.ENSP00000379683
9606.ENSP00000362166
9606.ENSP00000276925
9606.ENSP00000264657
9606.ENSP00000400175
9606.ENSP00000419060
9606.ENSP00000225929
9606.ENSP00000370989
9606.ENSP00000324804
9606.ENSP00000346839
9606.ENSP00000380281
9606.ENSP00000269305
9606.ENSP00000263967
9606.ENSP00000399968
9606.ENSP00000361405
9606.ENSP00000418525
9606.ENSP00000494750
9606.ENSP00000385675
9606.ENSP00000233146
9606.ENSP00000497069
9606.ENSP00000410083
9606.ENSP00000263334
9606.ENSP00000369497
9606.ENSP00000405330
9606.ENSP00000451828
9606.ENSP00000418915
9606.ENSP00000263339
9606.ENSP00000263735
